2 30 0 2 100
0.49 -2.45 -4.4
-5.02 -4.31 -13.63
-5.87 -5.69 -17.25
-0.21 9.16 18.12
-6.8 2.95 -0.9
2.31 3.88 10.07
0.73 0.89 2.51
-7.28 2.78 -1.73
7.74 6.25 20.24
2.41 0.27 2.94
-7.15 -8.19 -23.54
1.77 -6.61 -11.46
-6.86 6.38 5.91
5.02 9 23.01
-7.22 5.46 3.7
0.13 -2.75 -5.37
3.29 -0.51 2.27
-0.3 -9.17 -18.65
2.04 5.89 13.82
1.68 -0.24 1.21
-5.94 -1.54 -9.01
-2.3 2.51 2.71
6.45 6.77 20
-9.14 5.17 1.2
-5.94 7.25 8.57
5.38 -6.88 -8.38
-9.1 7.53 5.97
5.62 -8.46 -11.3
2.27 -3.88 -5.49
-6.47 5.14 3.82
-0.61 -9.39 -19.4
0.5 0.96 2.43
-9.35 9.3 9.25
-8 -7.33 -22.65
1.02 -6.41 -11.8
1.52 0.26 2.05
-4.94 1.33 -2.28
4.25 -5.52 -6.78
7.83 -4.92 -2.02
-9.88 -7.97 -25.81
2.59 3.38 9.35
1.1 4.43 9.96
-5.04 -1.94 -8.92
-2.06 1.28 0.51
8.52 5.94 20.41
-1.73 6.83 11.93
-0.99 -0.28 -1.54
-0.59 7.71 14.82
1.17 9.17 19.51
7.07 9.34 25.76
-4.86 1.44 -1.98
-5.83 -1.4 -8.64
-2.19 -2.79 -7.77
-7.28 -8.99 -25.26
-1.22 -2.22 -5.67
-3.8 2.59 1.38
-0.21 -2.12 -4.45
-0.19 7.91 15.64
2.56 8.4 19.36
-8.33 9.21 10.08
0.16 -6 -11.85
9.25 4.17 17.58
4.17 1.63 7.43
-7.64 4.38 1.13
1.94 -2.37 -2.79
-3.77 0.69 -2.38
5.83 3.56 12.95
-3.19 -3.06 -9.32
-9.7 3.76 -2.19
3.68 -0.53 2.63
-8.83 -8.51 -25.85
-4.11 -3.82 -11.74
6.73 4.46 15.64
-9.45 5.75 2.04
-9.91 -4.45 -18.81
4.98 5.67 16.32
-1.4 -9.86 -21.13
-0.5 -4.18 -8.86
7.46 -2.71 2.04
9.51 3.18 15.87
2.05 9.03 20.11
-6.57 3.03 -0.5
-3.86 -0.81 -5.48
-4 2.05 0.09
1.71 1.31 4.34
-4.83 -0.56 -5.96
0.31 3.73 7.77
5.41 -6.14 -6.87
-4.79 9.15 13.52
10 -4.21 1.58
-0.46 5.99 11.52
-9.16 -2.35 -13.86
-4.19 9.07 13.94
-4.75 7.48 10.21
9.51 8.59 26.69
6.46 5.64 17.74
-8.72 -2.14 -13
6.61 -1.17 4.27
-0.08 -7.29 -14.65
-0.28 0.59 0.91
