1 100 -1 1 71
0 1
0.1 1.09
0.2 1.18
0.3 1.25
0.4 1.31
0.5 1.36
0.6 1.39
0.7 1.41
0.8 1.41
0.9 1.4
1 1.38
1.1 1.34
1.2 1.29
1.3 1.23
1.4 1.16
1.5 1.07
1.6 0.97
1.7 0.86
1.8 0.75
1.9 0.62
2 0.49
2.1 0.36
2.2 0.22
2.3 0.08
2.4 -0.06
2.5 -0.2
2.6 -0.34
2.7 -0.48
2.8 -0.61
2.9 -0.73
3 -0.85
3.1 -0.96
3.2 -1.06
3.3 -1.15
3.4 -1.22
3.5 -1.29
3.6 -1.34
3.7 -1.38
3.8 -1.4
3.9 -1.41
4 -1.41
4.1 -1.39
4.2 -1.36
4.3 -1.32
4.4 -1.26
4.5 -1.19
4.6 -1.11
4.7 -1.01
4.8 -0.91
4.9 -0.8
5 -0.68
5.1 -0.55
5.2 -0.41
5.3 -0.28
5.4 -0.14
5.5 0
5.6 0.14
5.7 0.28
5.8 0.42
5.9 0.55
6 0.68
6.1 0.8
6.2 0.91
6.3 1.02
6.4 1.11
6.5 1.19
6.6 1.26
6.7 1.32
6.8 1.36
6.9 1.39
7 1.41
