2 40 -2 3 100
0.67 -0.31 3.01
-0.69 0.48 -2.87
0.24 0.16 0.02
0.94 0.15 1.27
-0.65 -0.78 8.35
0.28 0.11 0.43
0.26 0.36 -1.17
-0.48 -0.71 7.27
-0.92 0.01 1.76
-0.69 0.75 -5.28
-0.62 -0.12 2.47
-0.31 -0.01 1.18
0.11 0.15 0.03
-0.08 -0.3 3.18
-0.58 -0.54 6.1
0.9 -0.65 4.61
0.56 -0.19 2.35
-0.69 0.9 -6.68
0.91 0.12 1.35
-0.41 0.59 -3.69
0.74 0.7 -1.78
0.66 -0.42 3.57
0.63 0.49 -1.09
0.39 -0.88 6.26
-0.83 -0.39 5.43
0.51 -0.96 6.53
-0.37 -0.51 5.29
0.13 0.95 -5.23
0.47 -0.32 3.03
0.76 -0.77 5.21
0.67 0.21 0.41
0.26 -0.54 4.43
0.03 -0.52 4.56
-0.87 -0.58 7.31
-0.02 -0.61 5.33
0.02 -0.83 6.77
0.7 0.64 -1.65
0.68 -0.33 3.08
0.83 -0.63 4.53
0.98 -0.71 4.85
-0.63 0.99 -7.38
-0.84 0.45 -2.61
-0.82 -0.04 2.1
0.09 0.77 -4.21
-0.26 -1 8.81
-0.25 0.08 0.42
-0.17 -0.04 1.34
-0.89 0.76 -5.54
0.16 -0.35 3.29
-0.9 0.3 -1.11
0.19 0.92 -4.87
0.37 0.92 -4.28
-0.27 0.18 -0.35
-0.86 0.7 -4.92
-0.74 -0.18 3.21
-0.18 0.81 -5.06
0.62 -0.91 6.06
-0.47 -0.74 7.41
-0.17 0.2 -0.47
0.3 -0.43 3.7
0.88 -0.14 2.37
0.29 0.87 -4.25
0.55 -0.45 3.69
-1 0.19 0.05
0.45 -0.38 3.34
0.51 -0.19 2.3
0.84 -0.63 4.51
-0.96 0.63 -4.34
-0.04 -0.7 5.98
-0.39 -0.66 6.52
0.36 0.76 -3.36
0.07 0.97 -5.59
-0.22 0.52 -2.9
-0.01 -0.69 5.85
0.94 0.93 -2.03
0.95 0.01 1.87
0.03 0.71 -3.91
0.72 -0.29 2.9
-0.38 0.58 -3.61
0.33 -0.62 4.84
-0.04 0.77 -4.47
-0.02 0.47 -2.32
-0.06 0.38 -1.75
-0.83 -0.38 5.34
0.44 -0.31 2.94
0.91 0.07 1.51
0.92 -0.4 3.54
0.05 -0.76 6.2
-0.99 -0.53 7.28
-0.36 0.47 -2.65
-0.15 0.15 -0.08
0.36 0.35 -0.96
0.07 -0.21 2.44
-0.91 -0.13 3.11
-0.47 0 1.22
-0.88 0.74 -5.34
0.9 0.73 -1.33
0.34 -0.23 2.51
0.92 0.3 0.56
-0.42 0.99 -7.01
