1 100 -5 5 201
-10 -5247
-9.9 -5094.22
-9.8 -4944.44
-9.7 -4797.65
-9.6 -4653.8
-9.5 -4512.88
-9.4 -4374.84
-9.3 -4239.67
-9.2 -4107.32
-9.1 -3977.78
-9 -3851
-8.9 -3726.97
-8.8 -3605.64
-8.7 -3487
-8.6 -3371
-8.5 -3257.63
-8.4 -3146.84
-8.3 -3038.62
-8.2 -2932.92
-8.1 -2829.73
-8 -2729
-7.9 -2630.72
-7.8 -2534.84
-7.7 -2441.35
-7.6 -2350.2
-7.5 -2261.38
-7.4 -2174.84
-7.3 -2090.57
-7.2 -2008.52
-7.1 -1928.68
-7 -1851
-6.9 -1775.47
-6.8 -1702.04
-6.7 -1630.7
-6.6 -1561.4
-6.5 -1494.13
-6.4 -1428.84
-6.3 -1365.52
-6.2 -1304.12
-6.1 -1244.63
-6 -1187
-5.9 -1131.22
-5.8 -1077.24
-5.7 -1025.05
-5.6 -974.6
-5.5 -925.88
-5.4 -878.84
-5.3 -833.47
-5.2 -789.72
-5.1 -747.58
-5 -707
-4.9 -667.97
-4.8 -630.44
-4.7 -594.4
-4.6 -559.8
-4.5 -526.63
-4.4 -494.84
-4.3 -464.42
-4.2 -435.32
-4.1 -407.53
-4 -381
-3.9 -355.72
-3.8 -331.64
-3.7 -308.75
-3.6 -287
-3.5 -266.38
-3.4 -246.84
-3.3 -228.37
-3.2 -210.92
-3.1 -194.48
-3 -179
-2.9 -164.47
-2.8 -150.84
-2.7 -138.1
-2.6 -126.2
-2.5 -115.13
-2.4 -104.84
-2.3 -95.32
-2.2 -86.52
-2.1 -78.43
-2 -71
-1.9 -64.22
-1.8 -58.04
-1.7 -52.45
-1.6 -47.4
-1.5 -42.88
-1.4 -38.84
-1.3 -35.27
-1.2 -32.12
-1.1 -29.38
-1 -27
-0.9 -24.97
-0.8 -23.24
-0.7 -21.8
-0.6 -20.6
-0.5 -19.63
-0.4 -18.84
-0.3 -18.22
-0.2 -17.72
-0.1 -17.33
-0 -17
0.1 -16.72
0.2 -16.44
0.3 -16.15
0.4 -15.8
0.5 -15.38
0.6 -14.84
0.7 -14.17
0.8 -13.32
0.9 -12.28
1 -11
1.1 -9.47
1.2 -7.64
1.3 -5.5
1.4 -3
1.5 -0.13
1.6 3.16
1.7 6.88
1.8 11.08
1.9 15.77
2 21
2.1 26.78
2.2 33.16
2.3 40.15
2.4 47.8
2.5 56.12
2.6 65.16
2.7 74.93
2.8 85.48
2.9 96.82
3 109
3.1 122.03
3.2 135.96
3.3 150.8
3.4 166.6
3.5 183.37
3.6 201.16
3.7 219.98
3.8 239.88
3.9 260.87
4 283
4.1 306.28
4.2 330.76
4.3 356.45
4.4 383.4
4.5 411.62
4.6 441.16
4.7 472.03
4.8 504.28
4.9 537.92
5 573
5.1 609.53
5.2 647.56
5.3 687.1
5.4 728.2
5.5 770.87
5.6 815.16
5.7 861.08
5.8 908.68
5.9 957.97
6 1009
6.1 1061.78
6.2 1116.36
6.3 1172.75
6.4 1231
6.5 1291.12
6.6 1353.16
6.7 1417.13
6.8 1483.08
6.9 1551.02
7 1621
7.1 1693.03
7.2 1767.16
7.3 1843.4
7.4 1921.8
7.5 2002.37
7.6 2085.16
7.7 2170.18
7.8 2257.48
7.9 2347.07
8 2439
8.1 2533.28
8.2 2629.96
8.3 2729.05
8.4 2830.6
8.5 2934.62
8.6 3041.16
8.7 3150.23
8.8 3261.88
8.9 3376.12
9 3493
9.1 3612.53
9.2 3734.76
9.3 3859.7
9.4 3987.4
9.5 4117.87
9.6 4251.16
9.7 4387.28
9.8 4526.28
9.9 4668.17
10 4813
