2 30 0 2 100
22.17 3.75 29.67
27.42 81.17 189.77
42.43 30.97 104.36
30.39 87.96 206.31
38.42 82.45 203.32
51.55 34.38 120.3
35.19 11.51 58.2
13.43 53.64 120.71
82.93 48.13 179.18
21.16 79.78 180.73
75.61 29.34 134.29
28.22 31.62 91.46
7.64 39.3 86.24
59.92 46.98 153.89
5.03 77 159.02
69.09 93.6 256.3
37.81 12.39 62.59
70.21 90.19 250.58
19.06 88.04 195.13
48.39 81.49 211.36
22.58 72.5 167.58
67.91 24.6 117.12
5.98 74.41 154.8
11.27 60.09 131.45
8.91 81.46 171.82
64.13 61.28 186.69
7.15 97.44 202.03
24.33 77.88 180.08
42.48 12.18 66.85
53.68 15.68 85.04
15.54 54.12 123.78
10.15 23.53 57.21
24.15 43.52 111.2
95.1 90.43 275.97
53.42 85.29 224
25.17 91.26 207.69
75.28 14.76 104.8
91.89 57.7 207.29
95.05 37.44 169.93
3.04 92.75 188.55
90.64 83.83 258.29
9.83 91.46 192.75
25.64 34.69 95.03
10.83 78.67 168.16
82.35 58.46 199.26
90.12 25.13 140.37
52.36 42.66 137.69
90.24 57.52 205.28
43.31 94.4 232.11
43.04 34.96 112.95
8.6 30.77 70.14
81.23 24.88 130.99
83.7 79.8 243.3
32 74.54 181.07
17.37 64.71 146.8
50.13 40.81 131.75
19.08 49.89 118.86
82.66 10.82 104.3
4.92 85.71 176.35
69.73 18.33 106.39
13.51 1.19 15.89
76.93 37.07 151.08
80.55 58.19 196.92
23.38 10.91 45.21
6.33 99.3 204.93
16.62 63.09 142.8
23.69 92.42 208.54
30.62 11.82 54.26
76.02 99.44 274.91
66.45 8.15 82.74
44.21 74.03 192.26
16.31 3.22 22.75
19.74 23.87 67.49
11.29 47 105.3
6.99 56.63 120.25
70.81 17.96 106.74
51.93 65.37 182.67
87.26 84.4 256.05
36.79 99.64 236.06
73.33 1.85 77.03
50.64 10.87 72.37
71.58 58.37 188.32
44.36 57.54 159.44
75.63 89.43 254.49
5.05 4.38 13.8
40.87 97.92 236.7
39.95 52.55 145.04
68.63 31 130.62
42.6 93.43 229.46
32.65 85.18 203.02
25.07 87.03 199.13
78.78 33.93 146.64
39.44 28.04 95.52
69.91 97.77 265.45
78.63 77.58 233.8
66.91 6.04 79
42.52 6.46 55.43
33.31 31.47 96.24
78.41 17.26 112.92
26.41 13.98 54.38
